"Juridisk term","Brukervennlig term","Forklarende term","Definisjon","Lovhenvisning","Kategori","Risikonivå","Risikobeskrivelse","Rettssak-risiko","Formuleringer å unngå","Eksempel nivå 1","Eksempel nivå 2","Eksempel nivå 3","Relaterte begreper","Forvekslingsfare","Engelsk ekvivalent","Kommentar","Kilde"
"Label / Platemerke","Merkenavn for musikken","Merkenavn musikken gis ut under (label)","Merkenavn som musikk markedsføres under. Kan tilhøre et plateselskap eller være artistens eget.","Bransjestandard","Teknisk","Lav","Kan forveksles med plateselskap. Label er merkenavn, produsent er rettighetshaver.","Nei","'plateselskap' når man mener label","Navnet musikken gis ut under.","Label er merkenavnet du gir ut musikk under. Du kan ha samme registrantkode for flere labels.","Label identifiserer utgivelsens merkevare, mens produsent er rettighetshaver til masteren.","Produsent; Registrantkode; ISRC","Ja","Record label; Imprint","Selvutgivende artister kan lage eget labelnavn.","Bransjestandard"
"Distributør","Den som sender musikken til strømmetjenester","Selskap som distribuerer musikk til plattformer (distributør)","Selskap som formidler lydopptak til strømmetjenester og digitale plattformer på vegne av produsent.","Bransjestandard","Teknisk","Medium","Forveksles med plateselskap/produsent. Distributør tildeler ofte ISRC.","Nei","'aggregator' uten forklaring (bransjesjargong)","Selskapet som får musikken din på Spotify.","Distributører som DistroKid og Phonofile sender musikken din til strømmetjenester og lager ofte ISRC.","Distributør formidler lydopptak til digitale plattformer, men er ikke nødvendigvis produsent/rettighetshaver.","Produsent; ISRC; Strømmetjeneste","Ja","Distributor; Aggregator","De fleste selvutgivende bruker distributører. Viktig å forstå at de ikke er Gramo.","Bransjestandard"
"Master / Masterinnspilling","Originalinnspillingen","Den endelige innspillingen (master)","Det ferdige lydopptaket som brukes til utgivelse og fra hvilket kopier lages.","Åndsverkloven § 20","Teknisk","Medium","Hvem som eier masteren er avgjørende for produsentrettigheter.","Ja","'originalen' alene (upresist)","Den ferdige innspillingen av låten.","Masteren er den endelige innspillingen. Den som eier masteren har produsentrettigheter.","Mastereierskap korresponderer normalt med produsentrett iht. åndsverkloven § 20.","Produsent; Lydopptak; Rettigheter","Nei","Master recording; Master","Mastereierskap = produsentrettigheter i de fleste tilfeller.","Åndsverkloven § 20; bransjestandard"
"Registrering","Melde inn musikk","Innmelding av lydopptak til Gramo (registrering)","Prosessen der rettighetshavere melder inn lydopptak med tilhørende metadata til Gramo.","Gramos vedtekter","Organisatorisk","Medium","Ufullstendig registrering kan føre til at vederlag ikke fordeles korrekt.","Nei","'rapportering' (det er fra brukersiden); 'innmelding' av bruk","Meld inn musikken din til Gramo.","Ved å registrere innspillinger sikrer du at vederlag fordeles til riktige personer.","Registrering av lydopptak med korrekt metadata er forutsetning for korrekt vederlagsfordeling.","Metadata; ISRC; Fordeling","Ja","Registration; Repertoire registration","God registrering = god fordeling. Viktig at alle medvirkende registreres.","Gramos vedtekter"
"Rettighetskrav / Claim","Krav om din del","Krav om andel i innspilling (rettighetskrav)","Påstand om at man har rettigheter til et lydopptak og dermed krav på vederlag.","Gramos vedtekter","Organisatorisk","Medium","Motstridende krav må avklares. Kan forsinke utbetaling.","Ja","'eierskap' alene; 'påstand'","Si ifra at du var med på innspillingen.","Hvis du har medvirket på en innspilling, kan du fremme rettighetskrav hos Gramo.","Rettighetskrav må dokumenteres og kan bestrides av andre påståtte rettighetshavere.","Registrering; Tvist; Dokumentasjon","Nei","Claim; Rights claim","Ved konfliktende krav må partene dokumentere sine rettigheter.","Gramos vedtekter"
"Klage / Innsigelse","Klage","Formell protest mot en avgjørelse (klage)","Formell henvendelse der rettighetshaver bestrider Gramos beslutning eller fordeling.","CRM-loven § 48","Organisatorisk","Lav","Klageprosesser må håndteres effektivt for å bevare tillit.","Ja","'protest' (for uformelt); 'anke' (det er for domstol)","Si ifra hvis du mener noe er feil.","Hvis du er uenig i fordelingen, kan du klage til Gramo.","Klage skal besvares skriftlig innen rimelig tid iht. CRM-loven § 48.","Fordeling; Rettighetskrav; Tvisteløsning","Nei","Complaint; Dispute","Lovpålagte krav til klagehåndtering. Svar skal gis innen rimelig tid.","CRM-loven § 48"
"Fremføring","Musikkfremføring","Når musikken fremføres live eller avspilles (fremføring)","Utøvende kunstners tolkning og gjengivelse av et verk, enten live eller innspilt.","Åndsverkloven § 16","Juridisk","Lav","Skillet mellom live og innspilt fremføring kan være uklart.","Nei","'opptreden' i juridisk sammenheng","Når musikken spilles - live eller innspilt.","Fremføring er når en utøver tolker og gjengir et musikkverk.","Utøvende kunstners fremføring er beskyttet etter åndsverkloven § 16.","Utøvende kunstner; Lydopptak; Offentlig fremføring","Nei","Performance","Gramo forvalter rettigheter til innspilte fremføringer, ikke live.","Åndsverkloven § 16"
"Tilgjengeliggjøring","Gjøre musikken tilgjengelig","Når musikk gjøres tilgjengelig for publikum (tilgjengeliggjøring)","Samlebegrep for ulike måter musikk gjøres tilgjengelig - kringkasting, offentlig fremføring, on-demand etc.","Åndsverkloven §§ 16, 21","Juridisk","Medium","Ulike former for tilgjengeliggjøring har ulike rettslige konsekvenser.","Kanskje","'publisering' alene (for snevert)","Når folk kan høre musikken din.","Tilgjengeliggjøring omfatter både radio, butikkavspilling og strømming.","Tilgjengeliggjøring for allmennheten reguleres av åndsverkloven §§ 16 og 21.","Offentlig fremføring; Kringkasting; On-demand","Nei","Making available; Communication to the public","Viktig å forstå hvilke former for tilgjengeliggjøring Gramo forvalter.","Åndsverkloven §§ 16, 21"
"Enerett","Eksklusiv rett","Rett til å bestemme over bruken (enerett)","Rettighet der rettighetshaver har eksklusiv kontroll over spesifikke bruksmåter.","Åndsverkloven §§ 16, 20","Juridisk","Medium","Skillet mellom enerett og vederlagsrett er juridisk viktig.","Ja","'monopol' (misvisende); 'absolutt rett'","Du bestemmer selv over enkelte bruksmåter.","Enerett betyr at du kan nekte visse typer bruk - eller gi tillatelse mot betaling.","Utøvere og produsenter har enerett til visse disponeringer, jf. åndsverkloven §§ 16, 20.","Vederlagsrett; Lisens; Tvangslisens","Nei","Exclusive right","Gramos mandat under § 21 er vederlagsrett (ikke enerett) for offentlig fremføring.","Åndsverkloven §§ 16, 20"
"Tvangslisens / Avtalelisens","Lovpålagt rett til bruk","Bruksrett fastsatt ved lov (tvangslisens)","Ordning der brukere har lovbestemt rett til å bruke lydopptak mot betaling av vederlag.","Åndsverkloven § 21","Juridisk","Medium","Rettighetshavere kan ikke nekte slik bruk - kun kreve vederlag.","Ja","'ufrivillig lisens'; 'påtvunget'","Brukere har lov til å spille musikk mot å betale.","Tvangslisens betyr at radio kan spille musikken din uten å spørre - men de må betale.","Offentlig fremføring av lydopptak er underlagt vederlagsplikt, ikke enerett, jf. § 21.","Vederlag; Enerett; Gramo","Nei","Statutory license; Compulsory license","Grunnlaget for Gramos mandat - brukere kan ikke nektes, men må betale.","Åndsverkloven § 21"
"SCAPR","Internasjonalt samarbeid","Internasjonalt nettverk for utøverorganisasjoner (SCAPR)","Societies' Council for the Collective Management of Performers' Rights - internasjonalt nettverk Gramo er medlem av.","Bransjestandard","Organisatorisk","Lav","Forkortelse. Forklar ved bruk.","Nei","Bruk av forkortelsen uten forklaring","Gramo samarbeider med lignende organisasjoner verden over.","Gjennom SCAPR-nettverket kan Gramo sikre at du får vederlag fra utlandet.","SCAPR er det internasjonale nettverket for kollektive forvaltningsorganisasjoner for utøvende kunstnere.","Representasjonsavtale; Roma-konvensjonen; IFPI","Nei","Societies' Council for the Collective Management of Performers' Rights","Viktig for internasjonalt samarbeid og vederlagsinnkreving fra utlandet.","scapr.org"
"IFPI","Platebransjens organisasjon","Internasjonal organisasjon for plateselskaper (IFPI)","International Federation of the Phonographic Industry - organisasjon for plateprodusenter globalt.","Bransjestandard","Organisatorisk","Lav","Forveksles med Gramo. IFPI representerer produsenter, ikke utøvere.","Nei","Forveksle med Gramo; bruke uten forklaring","Organisasjon for plateselskaper.","IFPI representerer plateprodusenter internasjonalt. Gramo er norsk forvaltningsorganisasjon.","IFPI er den internasjonale bransjeorganisasjonen for fonogramprodusenter.","Produsent; SCAPR; Representasjonsavtale","Ja","International Federation of the Phonographic Industry","IFPI Norge er medlem av Gramo på produsentsiden.","ifpi.org"
"GramArt","Interesseorganisasjon for utøvende kunstnere","Utøvernes interesseorganisasjon (GramArt)","Interesseorganisasjon for utøvende kunstnere i Norge. Ikke det samme som Gramo.","Bransjestandard","Organisatorisk","Høy","STOR navnelikhet med Gramo. Mange forveksler organisasjonene.","Nei","'Gramart' (feil staving); forveksle med Gramo","GramArt er en interesseorganisasjon - Gramo forvalter vederlag.","GramArt jobber for utøvernes interesser politisk. Gramo samler inn og fordeler vederlag.","GramArt er interesseorganisasjon og medlem av Gramo på utøversiden.","Gramo; Utøvende kunstner; IFPI","Ja","GramArt (Norwegian performers' organization)","KRITISK forvekslingsrisiko. Navnelikheten skaper mye forvirring.","gramart.no"
"Min side","Din profil hos Gramo","Innlogget område på gramo.no (Min side)","Gramos digitale selvbetjeningsportal der rettighetshavere kan se registreringer, utbetalinger og oppdatere informasjon.","Gramos tjenester","Teknisk","Lav","Brukervennlighet er ofte kritisert. Under utvikling.","Nei","'Mine sider' (feil flertall); 'Gramo-konto' (upresist)","Logg inn på gramo.no for å se dine utbetalinger.","På Min side kan du se registreringer, utbetalinger og oppdatere kontoinformasjon.","Min side er Gramos selvbetjeningsportal for rettighetshavere.","Registrering; Utbetaling; Gramo","Nei","My page; Member portal","Viktig touchpoint. Brukervennlighet er forbedringsområde basert på medlemsundersøkelser.","gramo.no"
"Apollon","Gramos nye system","Gramos nye kjernesystem (Apollon)","Gramos kommende kjernesystem for innkreving, fordeling og medlemsportal. Planlagt lansering 2026.","Gramos interne prosjekt","Teknisk","Lav","Internt systemnavn. Relevant kun i overgangsperioden.","Nei","Bruke navnet i ekstern kommunikasjon uten kontekst","Gramo utvikler nye og bedre systemer.","Med det nye systemet blir det enklere å registrere og følge med på utbetalinger.","Apollon er Gramos kjernesystemprosjekt med planlagt go-live 2026.","Min side; Registrering; Utbetaling","Nei","Apollon (system name)","Internt prosjektnavn. Ny medlemsportal erstatter nåværende Min side.","Gramos interne dokumentasjon"
"Kulturfondet","Støtteordning","Fond for kulturelle formål (Kulturfondet)","Midler avsatt til kulturelle formål, finansiert av vederlag som ikke kan fordeles til enkeltpersoner.","CRM-loven § 12 fjerde ledd bokstav b, e","Økonomi","Medium","Noen mener pengene burde gå direkte til rettighetshavere.","Nei","'Gramo-fondet' (upresist)","Penger som går til å støtte musikkmiljøet.","Kulturfondet finansierer prosjekter som kommer hele musikkmiljøet til gode.","Bruk av midler som ikke kan fordeles reguleres av årsmøtet iht. CRM-loven § 12.","Fordeling; Årsmøte; Stipend","Nei","Cultural fund","Finansieres av vederlag som ikke kan tildeles enkeltpersoner (ukjente rettighetshavere etc.).","CRM-loven § 12; Gramos vedtekter"
