Created at,Visitor ID,Session ID,Labels,URLs,Device type,Top task,"Hva kom du til nettsiden for?","Annet: Hvorfor kom du til nettsiden?","Fikk du gjort det du kom for? ","Hvem besøker du nettsiden som nå?","Annet: Hvem besøker du nettsiden som nå?","Hva hindret deg i å få gjort det du kom for","Annet: Hva hindret deg i å få gjort det du kom for?","Hva gjør du for å få fullført det du skulle?","Har du noe mer å dele med oss?"
"20. Aug 2025 08:49:52",01K33AP228HF7KSEJ4DPTEYTW9,01K33AP3F5G9K4FDY7YWSP84ZZ,,https://minside.gramo.no/forgot-password,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"16. Sep 2025 16:07:08",01K59MADXEMSYCHG0N3D8055BQ,01K59MAG43M065VKN7WS2SWHMB,,https://minside.gramo.no/user,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"22. Oct 2025 11:32:45",,01K85TXYY2CTBQTPBRT6HWCYF1,,https://minside.gramo.no/user,null,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"23. Sep 2025 17:10:41",01K5VRTQVXNNGPA6PY3YNTW8AF,01K5VRTREBX6DK4AMJD7M6QEXQ,,https://www.gramo.no/logg-inn,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"29. Sep 2025 16:45:25",01K6B5SHR1E2FFZD0KB1XBW8S6,01K6B5SK6ASKXMJR7CH9FQGD5K,,https://www.gramo.no/medlemskap/isrc-kode,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"11. Oct 2025 09:12:18",01K7985YZNWJVN8SEWN6RRY89K,01K798608NA1HSXAPJ007NFKMB,,https://www.gramo.no/logg-inn,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"12. May 2025 08:39:58",01JV1QGF12KNNJMQ51A7XHY3YX,01JV1QGFNC0QY41FKJDAPZRBC9,"Registrere meg",https://minside.gramo.no/user?documentId=01691b64-ba13-49b1-91b3-7201b7dd6cc9,desktop,Annet,Annet,"Melde meg inn i Gramo, siden jeg er med på et verk som skal registreres",true,Annet,"Bidragsyter på et verk",,,,
"26. Nov 2025 12:28:11",,01KB023WRZTT4VSD4JC9MY3R55,,https://www.gramo.no/kontakt#message-bedrift-team,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,"Bedrift utenfor musikkbransjen",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Hei Jeg heter Espen, og jeg tar kontakt på vegne av UiT Norges arktiske universitet.   Vi jobber for tiden med et kort videoprosjekt på omtrent ett minutt for å introdusere universitetets rektoratteam.   Videoen er ment å være munter og engasjerende, og vi tror at sangen «I'll Be There For You» ville passe perfekt til tonen og budskapet i videoen. Vi ber om tillatelse til å bruke denne sangen i videoen vår. Videoen vil bli brukt til sosiale medier, og vi gir gjerne ytterligere detaljer eller overholder lisenskrav. Gi oss beskjed hvis det er noen skjemaer, avtaler eller gebyrer som kreves for å gå videre med denne forespørselen.  Vi setter stor pris på veiledning om hvordan vi kan gå videre. Takk for at du vurderer forespørselen vår."
"29. Aug 2025 07:56:01",01K3TCQBKNVXNCD7348HZVH214,01K3TCQCC5QT8V5EM20DYNK785,,https://www.gramo.no/logg-inn,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,true,,,,,,
"23. Jul 2025 15:20:31",01K0VXQNSFSV36SSFCJ935T0ZN,01K0VXQQEFDBJN5D3T93685XX6,,https://www.gramo.no/,desktop,"Finne veiledning og svar på spørsmål",Annet,"Finne ut forskjellen på TONO og Gramo. Er både komponist og musiker på utgivelser.",false,"Musiker / Artist som gir ut musikk selv",,Annet,"Ikke tid nå, må komme tilbake til saken.","Jeg prøver igjen senere",
"30. Sep 2025 07:07:20",01K6CQ13GDVS0PXEBGADCNT2F4,01K6CQ149Q6XK2FA0FKKM1E8MZ,Oppsigelse,https://www.gramo.no/,mobile,Annet,Annet,Oppsigelse,,,,,,,
"02. Dec 2025 16:37:08",,01KBFYQS84RWZBACXKHDHNP5Y0,,https://www.gramo.no/medlemskap/bli-medlem,mobile,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"31. Oct 2025 09:46:25",,01K8WSZXVBVFMJSKHN4V1NB3QD,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,"Musiker / Artist",,,,,
"08. Oct 2025 07:56:27",01K6MXNEYF47BASZADQ3A4EK9G,01K6MXNGJPR49M955K65HNXBNY,,https://minside.gramo.no/user,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"09. Sep 2025 12:12:36",01K4Q67FHJP12QAP95BM8J4QCS,01K4Q67GMRKKJV4SMKCTZZ78ZG,,https://www.gramo.no/,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"20. Jul 2025 17:50:48",01JYNXDAAQPF6YCF1AA60CY4M6,01JYNXDB18E01MZ964ECS735XF,,https://minside.gramo.no/user,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"14. Sep 2025 22:52:11",01K556A4CGX99TEZ6ADFDD877Z,01K556A5GRKWXX2BZ4E552QR0M,,https://www.gramo.no/logg-inn,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"21. May 2025 08:55:45",01JVS0RKJ6V22FBNVKES64J3YY,01JVS0RM6AYA84YTB9S30PDB5E,,https://musikkbruk.gramo.no/kunde/oppgikode,desktop,Annet,Annet,,,,,,,,
"15. Sep 2025 15:32:17",01K5701AJGFZKJ6TYA8QM03RJD,01K5701C4P2PQT91WXYD7K0ZF0,,https://minside.gramo.no/forgot-password,mobile,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"14. Nov 2025 22:49:16",,01KA28WJN41QHTR87K725T9K7G,,https://www.gramo.no/medlemskap/utbetalingskalkulator,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"12. Aug 2025 13:22:19",01K2F735S9GFAV8A1HWTQVTF69,01K2F737B4YTHPR7ZGJSDDGR4W,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"29. May 2025 04:12:19",01JWD3SHE97KRS158Q37P2CY1P,01JWD3SJGSW7M8G0F3TMC0KVN2,,https://www.gramo.no/aktuelt/mer-korrekt-fordeling-til-rettighetshavere?utm_source=Informasjon+fra+Gramo&utm_campaign=4d5bdbb110-EMAIL_CAMPAIGN_2025_03_11_08_57&utm_medium=email&utm_term=0_-4d5bdbb110-105749160,mobile,Annet,Annet,,,,,,,,
"24. Jul 2025 19:33:47",01K0YYSQJMXRE7P7EE7NHNFXJZ,01K0YYSRXK7S4B900B4BV6SGK1,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"24. Oct 2025 09:58:50",,01K8ATDKNVBYTA4NFJJ2W20B89,,https://www.gramo.no/,null,Annet,Annet,,,,,,,,
"08. Jul 2025 15:18:47",01JZN9V9QJHDCE869JVPGEC9EG,01JZN9VAN981Z2SNP17YWPN6KR,,https://www.gramo.no/logg-inn,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"17. Jun 2025 04:08:50",01JXY15CWEDRQDRBYMYFJ0ZD52,01JXY15DZ36J4V3GJGSR0JJ9KC,"Logge inn",https://minside.gramo.no/login,desktop,Annet,Annet,"Never get an engangs code sent to me so I can't log in!",false,"Musiker / Artist",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Ingen alternativ passer","No engangs code sent to mobile"
"01. Jun 2025 08:50:28",01JWDSGAXX6HP4T1E6WRSTW46T,01JWNAXM28TTBAGHNG3R52S15X,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,,,,,,,
"11. Jun 2025 13:56:13",01JV4QRYVRVCY45ACG2XBXDX69,01JXFMC8TGBAASSTZFWDYAAQWN,,https://minside.gramo.no/user,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"09. Oct 2025 08:01:25",01JZJZMKMBQZYB8DRRP8NQM49W,01K6YK1RK104C0QQY2C90EBJN7,,https://minside.gramo.no/login,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"18. May 2025 11:10:33",01JVHH74A9MFRZZDN7J4JM2XSM,01JVHH758712EB0F96ZBTF3XKE,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"14. Nov 2025 20:07:36",,01KA1Z0N9RZJYT7KAQYR0KXHJX,,https://www.gramo.no/logg-inn,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"14. Nov 2025 16:08:54",,01KA1FRM080MQ3RPYV63EDR3YF,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gclid=CjwKCAiAw9vIBhBBEiwAraSATlMqsxnXVeko2zlV3S8YQtqbjCGTwgJQ9C2TTbAiep0REyor59dRJxoCUlUQAvD_BwE,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo",
"28. Aug 2025 17:44:34",01K3RWE4AAKX0F8AG35KNB4HBP,01K3RWE5E4WM6AF670N15V8QNA,,https://www.gramo.no/logg-inn,unknown,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"30. Jul 2025 10:29:26",01K1DE1K0B5PC5D2895X8THGS2,01K1DE1KK46E7M5MJX03GB4HW1,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,true,,,,,,
"19. May 2025 14:29:21",01JVMF4PB342JDZ5F672S6FB7R,01JVMF4V3BQE545DTDFT8WV32V,,https://www.gramo.no/logg-inn,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,false,,,,,,
"31. Jul 2025 11:04:55",01K1G2E6EN3YQHEN0XF16FVZ1N,01K1G2E8MRR2J0GJX2PR39KA2T,,https://www.gramo.no/logg-inn,desktop,"Finne veiledning og svar på spørsmål",Annet,Behandlingstid,false,"Musiker / Artist som gir ut musikk selv",,Annet,Behandlingstid,"Jeg tar kontakt med Gramo",
"30. Jun 2025 08:14:41",01JYZXZRFH148X1BQ1573CK7PJ,01JYZXZS61HAPZ1KD14WHPJJM9,,https://www.gramo.no/logg-inn,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"16. Nov 2025 21:14:43",,01KA782DAGWVEB8JXGH922CCEE,,https://minside.gramo.no/register,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"09. Oct 2025 09:24:36",01K744HE74NZQED32Q5JWXKSC4,01K744HF7S2W4TMRJ4BCECPV6B,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"07. Jul 2025 16:34:28",01JZJVPTPNM4HX1N4HMP9NVCVV,01JZJVPW1Q5GAKS203G6QDMJH5,,https://www.gramo.no/medlemskap/utbetalingskalkulator,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"17. Sep 2025 11:39:39",01K5BQF9CXYQF4E96C9W4WB5R0,01K5BQFA6RHSMND7028P2MHX7V,,https://www.gramo.no/,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"07. Aug 2025 11:12:33",01K2237DB8JPN92KR0N8GSXZQC,01K2237EJ98PBAESBSPERV4X8E,,https://www.gramo.no/bedrift/priskalkulator,desktop,Annet,Annet,,,,,,,,
"17. Jun 2025 12:54:37",01JRR35W7TDSKQXM5ZG92P9ZMF,01JXYZ863BBNYXFQ0WNY993TH3,,https://minside.gramo.no/login,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"13. Jun 2025 11:48:19",01JXMHV6P000NPJT8RBK8SBY9G,01JXMHV7CP9AG8AGA571MQCAHB,,https://www.gramo.no/kontakt,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"27. May 2025 18:11:48",01JW9EQZG2FM8680Y46DG5ACC6,01JW9ER0C4JXJ13FBYH0T7FJBD,,https://www.gramo.no/logg-inn,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"04. Aug 2025 18:46:08",01K1V51K56FXVMBHJYDPF78JC2,01K1V51KXY87HAB38N500SKGWQ,,https://minside.gramo.no/login,desktop,Annet,Annet,,,,,,,,
"28. May 2025 07:49:18",01JWAXTT96G038ZEZN30GW2PG9,01JWAXTVVC1ENS6BW2FWH3MA29,,https://minside.gramo.no/login,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"01. Aug 2025 17:03:36",01K14F2M8Q0S6ZC8TV5VE0JG37,01K14F2NN0EDA8XQZ7K9Y2EHTZ,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"13. Oct 2025 19:09:39",01K7FFJP8HAV0MERD77NDVYK6F,01K7FFJPXNNNFKVYDMWV063RCT,,https://www.gramo.no/medlemskap/bli-medlem,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"06. Jul 2025 19:01:21",01JZGFPKXMHBE2M9QKGQ60JQGH,01JZGFPP24N73X6PA04CDQYVEQ,,https://www.gramo.no/om-gramo/om-gramo,tablet,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"05. Nov 2025 12:15:05",,01K99YYGHEMEW8CF7TTX4D717D,,https://www.gramo.no/kontakt,tablet,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"16. Jun 2025 07:39:17",01JXVTT0N3X7YNYGZBFV615VNB,01JXVTT2ND312CQ1W0RNQPXHJP,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"12. Nov 2025 13:02:53",,01K80XC9GKBSMWF41W9EJDN5CR,,https://www.gramo.no/logg-inn,null,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"21. Jun 2025 12:49:57",01JWBZZAKYGB3A4XNRFC02RWC2,01JY98J9GXH01HTP3956JKD8DK,,https://minside.gramo.no/profile,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"23. May 2025 09:24:14",01JVY6Z3FMJG2FRK9RH0YP61E6,01JVY6Z528VH2Q1TFB67YYGMHB,,https://www.gramo.no/,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,,,,,,
"03. Nov 2025 20:51:15",,01K95QRT2BF2JR747JY3APK5Z4,,https://minside.gramo.no/user,desktop,Annet,Annet,,,,,,,,
"08. Jul 2025 21:12:09",01JZNY1S6P1HPTQBBMC9ZRJBJX,01JZNY1T924SE816BYDKBWNTCX,,https://minside.gramo.no/user,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"09. Oct 2025 18:59:56",01K755E5NS77N3SMYFVABWC678,01K755E68BMX44NN43MMGZE631,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"06. Jun 2025 19:40:14",01JX3C2JQ94Q7W48E9257ZAR9Z,01JX3C2K6GM33SZSVPTCHY55S4,,https://www.gramo.no/medlemskap/bli-medlem,mobile,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"11. Sep 2025 07:51:54",01K4VW3Q718ZSATHKN32S1S2K0,01K4VW3R5ZXTHNYPRNWEDRM8MT,,https://www.gramo.no/medlemskap/utbetalingskalkulator,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,,,,,,
"26. Jul 2025 06:46:34",01K12QNW4QDD5GMJ8SHFR46YQ4,01K12QNXSMSQ4BMJ3BXAAA5NFQ,,https://www.gramo.no/bedrift/priskalkulator,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,Manager,,"Innholdet var vanskelig å forstå",,"Jeg dropper det",
"12. Jul 2025 07:39:31",01JZYS4ANJYWGX8QGF6DJ6XPAP,01JZYS4BH14Q2EMS7CZR2RCPRH,,https://www.gramo.no/logg-inn,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"01. Jun 2025 21:09:14",01JWPN5FJ6X9ENZ368RP09EA9J,01JWPN5H767HGXV6AHVJ3VX1BM,,https://minside.gramo.no/register?_gl=1*i3ghou*_ga*MjA3NDM3MTA0MS4xNzQ4ODEyMDg4*_ga_F3XX7WCPBD*czE3NDg4MTIwOTkkbzEkZzAkdDE3NDg4MTIwOTkkajYwJGwwJGgw,mobile,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"23. May 2025 20:53:25",01JTDDAS1TGGCR4JG9WAJCFZV3,01JVZDNBY1ZD0QRRAH01CJJHHS,,https://www.gramo.no/kontakt#message-member-team,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo",
"12. May 2025 07:00:50",01JRYR5QGSBZ4FBZYZ9Y3XZZHA,01JV1MN5RYP0STJZ6WJKB2QX4V,,https://www.gramo.no/medlemskap/utbetalingskalkulator?_gl=1*2dg5i8*_ga*MTUxMjIxMzk2NC4xNzI2NzQ5MzUy*_ga_F3XX7WCPBD*czE3NDcwMzMxNzckbzE4JGcxJHQxNzQ3MDMzMjE2JGozMCRsMCRoMA..,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"31. Aug 2025 17:15:02",01K40HPK3G4WCTTBCRKJB2PRKN,01K40HPKQVNVX9FFHFTXRAYMR9,,https://www.gramo.no/logg-inn,tablet,Annet,Annet,,,,,,,,
"16. Oct 2025 05:08:33",01K7NPNVHJ11TGRC309WQC3R1A,01K7NPNW4CCFVASZ39K6ZG0BS6,,https://www.gramo.no/,mobile,Annet,Annet,,,,,,,,
"02. Jun 2025 13:58:41",01JWREZ5R4E53RGMXP2GF0VF1H,01JWREZ6CXK1Y2RMTM4K0GZFNN,,https://www.gramo.no/,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,,,,,,
"11. Oct 2025 20:11:26",01K7AEB1RYN4J7F4220WQTFRE2,01K7AEB2VN9WTSKF175K9NXB41,,https://www.gramo.no/logg-inn,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"17. Nov 2025 14:09:32",,01K8N1SFJ5Y3973S75K6P35ZDC,,https://minside.gramo.no/user,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"02. Dec 2025 14:21:36",,01KBFPMQ1YNNWJW2J4TQ0Z8TTW,,https://www.gramo.no/bedrift/priskalkulator,desktop,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,,,,,,,
"11. Jun 2025 18:25:22",01JXG3S85X1EV5VYFJQ8WWK1GJ,01JXG3S8QXYKMPQEXQ9N8BAKS9,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"03. Nov 2025 14:00:34",,01K95058RDYEZV5NSXM8QSS7HP,,https://www.gramo.no/kontakt,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,,,,,,
"11. Jul 2025 18:47:17",01JZXCZ0DH1YAYD95FECP4Q2H3,01JZXCZ1FE7H9SS8ZP10AP0K87,,https://www.gramo.no/kontakt#message-bedrift-team,mobile,Annet,Annet,,,,,,,,
"01. Jul 2025 17:17:33",01JZ3F31QM4FRNTEH5J523CK72,01JZ3F32YWC8KQ1Y9P937QCR29,,https://www.gramo.no/,desktop,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,,,,,,,
"18. Jun 2025 10:03:28",01JY17VN1Q6GH4505D4SJ7F0S7,01JY17VNW4Y9PX2H7908TYK0S2,,https://www.gramo.no/kontakt#message-member-team,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"28. Nov 2025 19:30:28",,01KB5Z2EKGG6S2QVRJHJ4KCADW,,https://www.gramo.no/aktuelt/kunstig-intelligens-vil-endre-musikkbransjen,mobile,Annet,Annet,"Kunnskap om AI",true,,,,,,
"14. Jul 2025 11:01:26",01K049GDF7BPJ0RR9DP5BHYWAE,01K049GEP45E0F8X19E8C2JR5G,,https://www.gramo.no/logg-inn,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"30. Sep 2025 10:52:48",01K6D40RQRE25BW43J4878R56R,01K6D40SMF7NTE933SCNKZMCXZ,,https://www.gramo.no/,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,,,,
"26. Aug 2025 11:53:47",01K3GCXKCK211ZFQ6S7WCG5NPP,01K3GCXM5BZJMBGDGR54Y0F4MT,,https://www.gramo.no/,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"10. Sep 2025 07:04:43",01K4S70NVJ1PNGSXABVVVY6XPP,01K4S70PZWP9RNQYVFT36Q4NNT,,https://minside.gramo.no/user/ledger?sector=performer,desktop,Annet,Annet,,,,,,,,
"30. Jul 2025 10:27:28",01K1DDX45M0Z4RRAHNK2T31M23,01K1DDX4RK2C4JMYP1ZXZ1EB5K,,https://www.gramo.no/aktuelt,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,true,,,,,,
"23. May 2025 14:39:06",01JVYS94VZH628304DW3FDVWMH,01JVYS95K09C9K95DJCHKWQFNV,,https://www.gramo.no/medlemskap/bli-medlem,mobile,Annet,Annet,,,,,,,,
"16. Aug 2025 08:58:17",01K2S1JD8204CRGSGD41QX3YJ5,01K2S1JED1E1T1Q3XZ1XTY4S0Q,,https://www.gramo.no/bli-medlem,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,,,,,,
"26. Aug 2025 11:29:02",01K3K25SZ2WH2PY0860QEEKZB8,01K3K25V39XB58FMR5Y8WRY6C0,,https://www.gramo.no/,desktop,Annet,Annet,,,,,,,,
"17. Jun 2025 09:34:13",01JXYKRGD5Z3GD147P04WVH1VF,01JXYKRH08JY32PNHT865AS9PX,,https://minside.gramo.no/user/register,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"24. Jun 2025 22:32:40",01JYJ13JJER8THENEEZFR2NWWQ,01JYJ13KCS5BHDWWN5QPW9RG8F,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"26. May 2025 15:19:27",01JW6JNQVXENSFA7FY7A3F7ADW,01JW6JNR7MZWY1P87ECP2KNGY7,,https://minside.gramo.no/login,unknown,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"04. Jul 2025 06:44:04",01JWTV01JBF1R7ZEKF8QQFMRRP,01JWTV02F6QMNPVKTAHFW155ZE,,https://www.gramo.no/aktuelt,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,Annet,,,,,
"18. Aug 2025 23:07:32",01K2ZPY3VTS1FF4619H5ZTSGX1,01K2ZPY4G71FC81MWPG9AEGREE,,https://www.gramo.no/medlemskap/utbetalingskalkulator,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"03. Dec 2025 18:25:13",,01KAY4996ATX74SQXQ5XSJDR4F,,https://www.gramo.no/?analytics-2=on#,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,,,,,,
"08. Sep 2025 20:34:59",01K4NGCQYXB39RYG3RA2BCY308,01K4NGCRVC9JWTJ1MGYV5V5X1W,,https://minside.gramo.no/login,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Ingen alternativ passer","Kunne ikke logge på. Tjenesten for å sende og verifisere engangskode er utilgjengelig. Prøv igjen siden.. Vennligst prøv på nytt"
"02. Jul 2025 12:07:56",01JZ5GDSHNAV80ZQRRVGMK5ZSE,01JZ5GDVANX35F6KJJQ2ZGB366,,https://www.gramo.no/kontakt#message-member-team,mobile,"Sjekke eller oppdatere kontaktinformasjon",Annet,"Endre mailadresse",false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"08. Jul 2025 10:51:19",01JZMTB121BJBGVHKVG7C0H4WA,01JZMTB23XB95QD1DKB6FV9D0P,,https://www.gramo.no/medlemskap/utbetalingskalkulator,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,true,"Musiker / Artist",,,,,
"22. May 2025 16:06:05",01JVWBTK7VPDG4KKP8J02575SN,01JVWBTKTZENBE2MS5V8Y93PBH,,https://www.gramo.no/medlemskap/isrc-kode,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"01. Aug 2025 15:02:11",01K1K2DEX2J19C9PC0Z60PYR7E,01K1K2DNSPHSD31E6RTKQ3566H,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"21. Aug 2025 10:08:37",01K35ZFDNCDG4GXGSC1R0TG36D,01K35ZFEKE8B4CDHYZG453AYXX,,https://www.gramo.no/logg-inn,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"10. Jun 2025 11:42:31",01JXCTB62MPF6XEWHW3BHVADJ9,01JXCTB6MVW0EHR0NDRDM87HB3,,https://minside.gramo.no/user,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"06. Nov 2025 23:18:14",,01K9DQBTZQMD9F1G4BHWWTKKBS,,https://musikkbruk.gramo.no/kunde/ny?_gl=1*1lrbfbc*_ga*NDIzMDY3NTgwLjE3NjI0NzA2ODU.*_ga_F3XX7WCPBD*czE3NjI0NzEwNDUkbzEkZzAkdDE3NjI0NzEwNDUkajYwJGwwJGgw,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,true,,,,,,
"15. Sep 2025 19:31:19",01K57DP0J7C4K8FJGA2EQKFS2M,01K57DP19SEAE3A7AMYK6JYYDM,,https://www.gramo.no/kontakt#message-member-team,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,true,"Musiker / Artist",,,,,
