Title,Kilde,Collection,State,Description,Body (rik tekst),Url
Må vi betale for «walk in music» og pausemusikk ved festivaler og konserter?,Intercom,Betale for musikkbruk,Published,"All bruk av innspilt musikk må man betale for, både til Gramo og Tono.","All bruk av innspilt musikk må man betale for, både til Gramo og Tono.

- Dersom dere har et fast lokale, kan dere registrere dette som et serveringssted.
Hva koster det? – Sjekk ut vår priskalkulator

- Dersom dere har ikke har et fast lokale så kan dere registrere dette som et event.
Hva koster det? – Send oss en melding så skal vi finne prisene til deg",https://hjelp.gramo.no/nb/articles/4418666-ma-vi-betale-for-walk-in-music-og-pausemusikk-ved-festivaler-og-konserter
Har du hatt besøk av Gramo og Tono?,Intercom,Betale for musikkbruk,Published,Registrer opplysninger eller gi oss tilbakemelding innen ti dager etter besøket.,"Hvis vi under besøket kommer frem til at bedriften din har plikt til å betale til Gramo og Tono må du gi registrere eller endre opplysningene dine👇

Registrer opplysninger etter besøkHvis bedriften din ikke gir Gramo og Tono tilbakemelding innen 10 dager, sender vi faktura basert på opplysningene vi noterte da vi var på besøk.

Tono kan du kontakte på marked@tono.no eller 22 05 38 48
​
​Grunnlag for faktura fra Gramo – hjemmel for å kreve opp vederlag og ilegge avgift for Fond for utøvende kunstnere",https://hjelp.gramo.no/nb/articles/4427358-har-du-hatt-besok-av-gramo-og-tono
Hvor mye må bedriften min betale for å spille musikk?,Intercom,Betale for musikkbruk,Published,Her finner litt info og priskalkulator,"Hvor mye bedriften din skal betale for å spille musikk kommer an på hvilken bransje den drives under. Du kan beregne pris i vår priskalkulator 👇

Gå til priskalkulator",https://hjelp.gramo.no/nb/articles/4418591-hvor-mye-ma-bedriften-min-betale-for-a-spille-musikk
Melde rettigheter til radiospilte innspillinger,Intercom,Produsenter,Published,Her kan du sjekke radiospilte innspillinger og kreve rettigheter til dem hvis du eller selskapet ditt har det.,"Innmeldingsfrister

31. Desember 2025 foreldes spilletid for året 2022.

Krav på individuelt vederlag foreldes etter tre år fra det tidspunkt rettighetshaveren tidligst kan kreve vederlag utbetalt. Fordelingsreglement for Gramo punkt 8.

01. September 2025 – er siste frist for å melde krav eller eventuelle endringer relatert til avspillingsåret 2022 og eventuelle andre endringer som skal med på utbetaling i desember 2025.

Se planlagte utbetalinger.

For at du skal kunne sjekke at vi har registrert riktig rettigheter på innspillingene dine, har vi laget lister med låter som har blitt spilt på norsk radio. Hvis du finner noe som ikke stemmer kan du melde fra til oss om det.

Her finner du innspillinger som har blitt spilt på norsk radio:

Avspilte innspillinger for de åpne avregningsår.

-Du trenger ikke være innlogget for å søke i listen

Muligheten for å gjøre rettighetskrav fra avspillingsrapporten via Min Side som produsent-rettighetshaver er nå åpen.

Du kan nå sjekke om innspillinger du har produsentrettigheter til er spilt i en åpen avspillingsrapport på våre hjemmesider – Se om dine innspillinger er riktig registrert til deg som produsent - og gjør rettighetskrav til disse via Min Side.

Dersom Gramo ikke har rettighetshaver på innspillingen eller av en eller annen grunn har feil rettighetshaver registrert, kan dette nå enkelt meldes inn til Gramo via Min Side.

Husk at - Alle rettighetskrav må bli gjort rede for 

Se hvordan her

Eller se video under.

*# Her finner du avspillingsrapportene i excel:

Excel filene vil kunne benyttes til å identifisere avspillinger. Rettighetskrav av avspillinger må fremdeles gjøres via Min Side.

Oppdatert 06.02.2025*

- Gramo-innspillinger for radio-året 2022 (Excel) – last ned her

- Gramo-innspillinger for radio-året 2023 (Excel) – last ned her

- Gramo-innspillinger for radio-året 2024 (Excel) – last ned her

Her er tips til noen ting du kan se etter i avspillingsrapportene:

- Innspillinger som står oppført på deg eller ditt selskap, men som du eller ditt selskap ikke har rettigheter til.

- Innspillinger som står oppført på noen andre, men som du eller ditt selskap har rettigheter til.

- Innspillinger med ukjent rettighetshaver (No Rightsholder)

- Innspillinger som ikke er vernet (Not Protected) som du mener er vernet

- Andre ting vi ikke har fått med oss som du mener skal rettes opp

Alle rettighetskrav må bli gjort rede for

I de fleste tilfeller er det nok å redegjøre for kravet ved å fylle ut den påkrevde informasjonen knyttet til repertoaret som ISRC, P-Line, Producer name og så videre.

I de tilfeller der Gramo ikke har mulighet til å validere kravet utfra den informasjon som er gitt i kravet, må det legges ved ytterligere dokumentasjon.

Tilfeller hvor krav om ytterligere dokumentasjon er påkrevd kan for eksempel være:

- Produsenten til innspillingen/s/es tilgjengelige utgivelse (release) p-line er ikke den samme som den faktiske rettighetshaver.

- Produsenten til innspillingen/s/es tilgjengelige utgivelse (release) p-line i vårt territorium er ikke den samme som den gitt i rettighetskravet.

- ISRC registrert i Gramo på innspillingen korresponderer ikke med den oppgitt i kravet og Gramo kan ikke avgjøre om innspillingen er samme versjon, eller innspillings-versjonen er ikke den samme.

- Produktet (innspillingens utgivelse) er lisensiert til annen rettighetshaver i vårt territorium.

Alle disse eksemplene resulterer i en «mismatch» av informasjon Gramo har tilgang på.

Forklaring av status gitt i kravs-dialog

Status: ""Rejected"" 
Hvis informasjonen gitt i kravet ikke stemmer overens med informasjonen Gramo har tilgjengelig og det ikke er sendt med forklaring som oppklarer uoverensstemmelsene, blir status ""Rejected"".

Rejections blir presentert med en kommentar som forklarer hvorfor kravet ikke er gyldig.

NB: Hvis kommentaren til kravet er bare en referanse til en p-line så gjelder dette for den avspilte versjonen.

Status: ""Pending dbl claim""
Hvis kravet er gyldig, men det finnes krav på samme innspilling fra annen rettighetshaver blir status ""Pending dbl claim""

I slike tilfeller vil partene bli informert om den oppståtte konflikt og henstilles til å ordne opp gjennom forhandling, mekling eller rettssystemet og deretter varsle Gramo.

Status: OK (Accepted)
Hvis kravet er gyldig og det ikke finnes konflikter blir status ""OK (Accepted)""

Mer info:

Regler om saksbehandling ved dobbeltkrav
​Låta må være vernet – og hva betyr det?

How to download detailed distribution-specifications via min side",https://hjelp.gramo.no/nb/articles/5272716-melde-rettigheter-til-radiospilte-innspillinger
Hva er en aggregator?,Intercom,Ord og uttrykk – for deg som lager musikk,Published,"Et nettbasert selskap som tilbyr tjenester i forbindelse med digital distribusjon av musikk, kalles aggregator.",En aggregator er et nettbasert selskap som tilbyr tjenester i forbindelse med digital distribusjon av musikk. De er et mellomledd mellom den som gir ut musikken og digitale musikkstrømmetjenester som Spotify og liknende.,https://hjelp.gramo.no/nb/articles/4418394-hva-er-en-aggregator
"Label, platemerke og registrantkode",Intercom,Ord og uttrykk – for deg som lager musikk,Published,Lær om hva label og platemerke er og hvordan det henger sammen med registrantkode. Samt hvordan du får eller finner registrantkoden din.,"En label, eller platemerke på godt norsk, er et merkenavn som musikken markedsføres under. Et plateselskap kan ha flere labeler.

Første gang du registrerer deg hos Gramo som personlig produsent eller plateselskap, får du noe som heter registrantkode.

Du kan bruke den samme registrantkoden på tvers av alle labeler du eier.

Registrantkoden skal du bruke i den første delen av ISRC-koden. Alt om ISRC

Slik finner du registrantkoden din

Registrantkoden finner du her på Min side
Sjekk at du har valgt profilen som har labelen du vil se registrantkoden til.

Trenger du ny registrantkode? – Send oss en melding med navn på label, så skal vi ordne registrantkode til deg. Det må du ha for å lage ISRC 🙂

​",https://hjelp.gramo.no/nb/articles/4418368-label-platemerke-og-registrantkode
Innspilling og utgivelse,Intercom,Ord og uttrykk – for deg som lager musikk,Published,Finn ut hvordan hva begrepene betyr og hvordan de henger sammen.,"I Gramo-sammenheng er en innspilling det samme som:

- Låt

- Spor

- Kutt

- Sats

En innspilling må være en del av en utgivelse. Den kan være alene eller sammen med flere andre innspillinger på utgivelsen.

En utgivelse er for eksempel:

- Album

- EP

- Single

- Samleplate

- Symfoni

Én og samme innspilling kan finnes på flere forskjellige utgivelser.",https://hjelp.gramo.no/nb/articles/4574114-innspilling-og-utgivelse
Forskjellen på royalties og vederlag,Intercom,Ord og uttrykk – for deg som lager musikk,Published,"Vederlag er i Gramo-sammenheng en lovbestemt form for betaling eller kompensasjon, mens royalties er en avtalt form for betaling.","Vederlag er i Gramo-sammenheng en lovbestemt form for betaling eller kompensasjon for bruk av innspilt musikk.

Royalties blir gjerne brukt om andre former for betaling som er avtalt mellom to eller flere parter, for eksempel i en avtale mellom artist og plateselskap.",https://hjelp.gramo.no/nb/articles/4418413-forskjellen-pa-royalties-og-vederlag
Hva er et plateselskap?,Intercom,Ord og uttrykk – for deg som lager musikk,Published,"Et selskap som spesialiserer seg på produksjon, distribusjon og promotering av musikk, kalles for plateselskap.","Et plateselskap er selskap som spesialiserer seg på produksjon, distribusjon og promotering av musikk.

​",https://hjelp.gramo.no/nb/articles/4418384-hva-er-et-plateselskap
Hva er strekkode (EAN og UPC)?,Intercom,Ord og uttrykk – for deg som lager musikk,Published,European Article Numbering (EAN) og Universal Product Code (UPC) er en varekode.,"European Article Numbering (EAN) og Universal Product Code (UPC) er en varekode.

- EAN-koden brukes på fysiske eksemplar (strekkode) .

- UPC-koden brukes på digitale utgivelser.

Koden kan fås fra distributør, digital distributør eller kan kjøpes fra GS1

Trenger du strekkode? – kom i gang på GS1 sine nettside",https://hjelp.gramo.no/nb/articles/4418405-hva-er-strekkode-ean-og-upc
Hva er et katalognummer?,Intercom,Ord og uttrykk – for deg som lager musikk,Published,Du kan se på katalognummeret som ditt varenummer på utgivelsen.,"Du kan se på katalognummeret som ditt varenummer på utgivelsen.

Nummeret lager du selv og kan bestå av både bokstaver og tall.

Du kan for eksempel bruke initialene dine eller på ditt platemerke (label), hvis du har det.

For å holde orden på utgivelsene dine, kan det være lurt å lage ditt eget nummersystem. For eksempel:

- Utgivelse 1: ""Mitt Platemerke"" = MP 001

- Utgivelse 2: ""Mitt Platemerke"" = MP 002

- Og så videre...

På CD'er og LP'er finner du ofte katalognummeret trykket på ryggen av utgivelsen.",https://hjelp.gramo.no/nb/articles/4418404-hva-er-et-katalognummer
Hvorfor må jeg betale til Gramo for å bruke musikk i mine radiosendinger?,Intercom,Musikk i dine radiosendinger,Published,"Hvis du bruker musikk i dine radiosendinger, skal du i følge norsk lov betale til dem som har rettigheter til musikken.","Hensikten med Gramo er at du skal slippe å måtte gjøre opp direkte med hver enkelt artist, musiker og plateselskap for musikken du bruker i dine radiosendinger.

Hvis du bruker musikk i dine radiosendinger, skal du i følge norsk lov betale til dem som har rettigheter til musikken. Bestemmelsene står i åndsverkloven § 21 og lovens forskrifter.

Kulturdepartementet har godkjent Gramo til å kreve inn og fordele pengene (vederlaget) på vegne av musikerne, artistene og plateselskapene.
​
​Les mer om grunnlaget for faktura fra Gramo",https://hjelp.gramo.no/nb/articles/4418768-hvorfor-ma-jeg-betale-til-gramo-for-a-bruke-musikk-i-mine-radiosendinger
Internettradio (webcasting),Intercom,Musikk i dine radiosendinger,Published,,"Med “Internettradio” mener Gramo en digital radiotjeneste som bruker innspilt musikk og lignende lydopptak i egne redaksjonelle radioprogrammer som tilgjengeliggjøres i webcasting for publikum i territoriet Norge.

Gramo krever opp vederlag for den webcastingen (overføring til allmennheten) som omfattes av åndsverkloven § 21 . Selve vederlaget omfatter ut over beskrivelsen ovenfor, denne definisjonen av webcasting:

«Webcasting” betyr lineær overføring av kun lydkanaler, inkludert lydopptak, når hovedformålet med tjenesten ikke er å selge, reklamere for eller promotere bestemte produkter eller tjenester, bortsett fra lydopptak, livekonserter eller andre musikkrelaterte arrangementer, forutsatt at brukerne av slike tjenester mottar det samme innholdet samtidig (single point-to-multipoint). Overføringer innenfor lukkede proprietære systemer, lukkede private nettverk eller lukkede mobilnettverk er unntatt fra omfanget av denne definisjonen»

Vederlaget omfatter heller ikke tredjeparts distribusjon av webcastingen.

For tilsvarende webcasting av såkalte ikke-vernede lydopptak, krever Gramo opp avgift etter fondsloven § 3 på vegne av Fond for utøvende kunstnere (FFUK).

Spørsmål om tariff og øvrige vilkår sendes til post@gramo.no

Gramo minner om at det kan være andre rettigheter relatert til lydopptak i webcasting som må klareres. Bruk gjerne ekstern rettshjelp ved spørsmål i denne forbindelse. Gramo kan dessverre ikke svare på rettighetsforhold som ikke omfattes av Gramos virksomhet.",https://hjelp.gramo.no/nb/articles/4427424-internettradio-webcasting
Lokalradio – slik fungerer det,Intercom,Musikk i dine radiosendinger,Published,Her får du vite hva du må gjøre når du bruker musikk i dine radiosendinger.,"En lokalradio sender i et begrenset geografisk område i Norge, i motsetning til en riksdekkende radio som sender over hele Norge.

Slik fungerer det:

Frem til 01.01.2025 hadde Gramo en avtale med Norsk lokalradioforbund om bruk av musikk i lokalradio.

Ny avtale er under forhandling og vil tre i kraft så snart den er klar.

- Du må minst en gang i året rapportere til oss musikken radioen har spilt.

Bruk rapporteringsverktøyet for avviklingsprogram:

SAM Broadcaster

- StationPlaylist

- Dalet

- RadioDJ

- Myriad

- MegaSeg

- RadioBOSS

- Du må innen 1. august hvert år sende opplysninger om driften.
Gramo sender en påminnelse når det er på tide å sende inn opplysningene.

- Når du har sendt opplysningene beregner Gramo beløpet radioen skal betale.

- Vi sender tre fakturaer i året:

En a-kontofaktura i 1. kvartal for inneværende år.

- En a-kontofaktura i 2. kvartal for inneværende år.

- En sluttfaktura for i fjor, fra september og utover, når opplysninger om sendetid og eventuelt regnskap er mottatt og registrert.

Fyll ut opplysningsskjema
​Beregn prisen i vår priskalkulator for lokalradio",https://hjelp.gramo.no/nb/articles/4418809-lokalradio-slik-fungerer-det
Riksdekkende radio – slik fungerer det,Intercom,Musikk i dine radiosendinger,Published,Vi inngår egne avtaler direkte med hver enkelt riksdekkende kanal,"En riksdekkende radio sender over hele Norge. Du må ha konsesjon for å drive riksdekkende radio.
Slik starter og drifter du radio i Norge – Les om det på Medietilsynets nettsider

Slik fungerer det med Gramo:

- Vi inngår egne avtaler direkte med hver enkelt riksdekkende kanal.

- Alle riksdekkende radiokanaler må rapportere inn til Gramo all musikk som blir spilt i deres sendinger.

- Vi sender faktura i henhold til avtalen

Gramo har i dag avtale med NRK, P4 og Radio Norge.",https://hjelp.gramo.no/nb/articles/4427419-riksdekkende-radio-slik-fungerer-det
Priskalkulator for lokalradio,Webflow,Musikk i dine radiosendinger,Published,,Beregn prisen for å spille musikk i lokalradiosending. Dette er kun et prisoverslag for musikkbruk i 2024. Beløpet kan avvike noe fra beløpet på fakturaen. For 2025 blir det fremforhandlet en ny avtale med Norsk lokalradioforbund.,https://www.gramo.no/priskalkulator-lokalradio
Alt om ISRC,Intercom,ISRC,Published,"Finn ut hva ISRC er, om du trenger ny ISRC, eller ikke. Samt tips til hvordan du kan lage deg ditt eget ISRC-system.","Hva er ISRC?

ISRC er innspillingens identifikasjonsnummer og står for International Standard Recording Code. Den kan sammenlignes med ISBN-nummer på bøker eller ISWC-nummer på komposisjoner.

Finn ISRC på allerede utgitt musikk – ISRC Finder (ekstern nettside)

Hvorfor trenger vi ISRC?

ISRC-koder er et viktig verktøy i bransjen, også internasjonalt, ikke minst for at innspillingen skal kunne identifiseres av strømmetjenester.

Alle innspillinger som gis ut i Norge skal ha en ISRC-kode.

Send alltid med ISRC når du distribuerer innspillingen din. Da følger den med  når vi får rapporter på hvilke låter som blir brukt. Og vi kan raskt identifisere innspillingen og se hvem som har rett på Gramo-penger.

Slik er koden bygget opp

Koden består av 12 tegn:

- De syv første tegnene er forhåndsbestemt og skal være registrantkode og år.

- De fem siste tegnene er valgfrie.

Her er et eksempel:

Registrantkode

Hvis du har en Gramo-konto kan du finne registrantkoden på Min side. Hvis du har flere profiler i Min side må du velge den som har labelen du vil se registrantkoden til.

Trenger du ny registrantkode? – Send oss en melding med navn på label, så skal vi ordne registrantkode til deg.

Du trenger ikke å være medlem i Gramo for å få tildelt registrantkode og lage ISRC.
​

Label, platemerke og registrantkode – les mer her

​NB! Du kan ikke bruke registrantkoden NOXXX fra eksempelet over for å lage egen ISRC.

🤚 Før du oppretter ISRC

❗️Ikke opprett ISRC hvis innspillingen:

- Har blitt utgitt før.
Skal du gi ut en innspilling på nytt? – bruk samme ISRC som på originalutgivelsen.
Èn og samme innspilling kan være med på mange forskjellige utgivelser, for eksempel på samleplater eller ""best of""-utgivelser.

- Bytter eller endrer ""eierskap"".
Hvis koden og innspillingen får ny “eier” (den som har rettighetene til innspillingen), må du oppdatere dette på Min side.
Kontakt oss hvis du trenger hjelp til det.

Opprett ISRC kun på nye innspillinger og versjoner. For eksempel:

- konsertopptak

- cover-versjoner

- remixer

- musikkvideoer

Avklar hvem som skal opprette ISRC

Hvis det er noen andre som gir ut eller distribuerer musikken for deg, er det de som har eller skal ha ISRC-koden. Husk i så fall å høre med dem før du oppretter ny og registrerer den i Gramo. Finnes det en ISRC fra før, bruk den.

Hvis én og samme innspilling får flere ISRC-koder kan det lett bli kluss når vi skal finne hvilke innspillinger du skal ha utbetaling for.

Oppbygning av ISRC

De syv første tegnene

De syv første tegnene er forhåndsbestemt og består av en registrantkode med to bokstaver og tre sifre, og deretter årstall.

NOXXX = Registrantkode

Disse fem tegnene forteller hvilket land den tilhører og hvilken label eller platemerke som opprettet ISRC-kode på innspillingen.

Registrantkode – slik finner du eller skaffer du det

22 = År

Dette skal alltid være året låta ble utgitt første gang. Dersom du mastret låta i 2023 og gir den ut i 2024, skal du bruke 24 på årstall.

​I illustrasjonen over ser vi at det er en låt som ble utgitt i 2022.

De fem siste tegnene

De fem siste tegnene i koden består av fem siffre. De er til din disposisjon som eier av koden, og du står fritt til å lage ditt eget system.

Tips til eget system

Her er et tips til hvordan du kan lage deg et ISRC-system for de fem siste sifrene, hvis du vil prøve å holde det ryddig.

Dette er kun forslag. Du står fritt til å lage ditt eget system 🙂

04 = Nummer på utgivelse innenfor et år.

I illustrasjonen over er dette den fjerde utgivelsen i 2022.

03 = Nummer på låt på utgivelsen. 

Hvis du gir ut en singel har du bare en innspilling på utgivelsen. Dette trenger ikke å være samme numeriske rekkefølge som rekkefølgen på sporene på utgivelsen.

I illustrasjonen over er dette den tredje låta på den fjerde utgivelsen i 2022.

0 = Indeksnummer. 

Blir ofte brukt til å indikere om innspillingen er en remix eller lignende. En original versjon har gjerne 0 til slutt, mens remixer gjerne har 1, 2, 3 og så videre, ett nummer opp i rekken for hver nye remix. Slik sikrer du at hver remix får en unik ISRC-kode, mens sifrene foran er de samme, og derfor sier noe om hvilken låt som er remixet.

I illustrasjonen over er dette originalversjonen av den tredje låta på den fjerde utgivelsen i 2022.

ISRC-eksempel på en utgivelse

Med din egen registrantkode blir dette fullverdige ISRC som du kan bruke, hvis du vil.

 Spor på utgivelsen

 Registrantkode + År

 Eget system

 Spor 1

 NOXXX22

 01010

 Spor 2

 NOXXX22

 01020

 Spor 3

 NOXXX22

 01030

 Spor 3

 NOXXX22

 01040

 ...

 ...

 Spor 10

 NOXXX22

 01100

 Spor 11

 NOXXX22

 01110

 og så videre ...

 og så videre ...

 og så videre ...

Hvordan å gi ut musikk – les Brak sin guide her

Noe du lurer på? – Ta kontakt så skal vi hjelpe deg 🙂",https://hjelp.gramo.no/nb/articles/3641720-alt-om-isrc
ISRC-kode,Webflow,ISRC,Published,,"ISRC er en unik identifiseringskode. Den brukes for å identifisere lydopptak og musikkvideoopptak, og gjør det lettere å følge med på hvor og når de blir brukt. Koden består av 12 siffer. De syv første tegnene er forhåndsbestemt til å være registrantkode og år. De fem siste sifrene er valgfrie. Registrantkoden kan du kun få av Gramo eller andre som er autorisert til å tildele koder. Du trenger ikke å være medlem i Gramo for å få tildelt registrantkode og ISRC.",https://www.gramo.no/medlemskap/isrc-kode
Statistikken,Webflow,Statistikk,Published,,"Her finner du Gramos statistikk over spilletid på norsk radio. Statistikk tilgjengelig for årene: 2024, 2023, 2022, 2021, 2020, 2019, 2015, 2014. 2020: Dagny har både 1. og 2. plass på listen over mest spilte norske låt med Somebody og Come Over. 2019: Den låten som ble aller mest spilt på norsk radio i 2019 var norsk. Kind of love med Isak Heim og Rat City ble spilt i til sammen 444 timer, 33 minutter og 22 sekunder. 2015: Mest spilte låt var Take Me To Church med Hozier. Kygos låt Firestone var mest spilte norske låt på radio.",https://www.gramo.no/om-gramo/statistikken
Logg inn,Webflow,Logg inn,Published,,"Medlemmer: Her kan du se dine utbetalinger, se avspilte innspillinger, registrere innspillinger, oppdatere kontaktinfo. Er du ikke medlem? Bli medlem i Gramo nå (gratis). Bedrifter: Her kan du registrere musikkbruk, endre kundedetaljer, kontakte bedriftsservice. Har du ikke registrert bedriften din? Registrer deg hos Gramo nå.",https://www.gramo.no/logg-inn
Kontakt oss,Intercom,Kontaktinfo,Published,Her finner du kontaktinfo til alle oss som jobber i Gramo,"Administrasjon

Kim Skarning Andersen, daglig leder

e-post: kim.andersen@gramo.no

Øystein Rudjord, seniorjurist
e-post: ​oystein.rudjord@gramo.no

Gramo for medlemmer / rettighetshavere

Telefon medlemsservice: 22 00 77 80

E-post: medlem@gramo.no

Torill Nesøen, leder medlemsavdelingen

torill.nesoen@gramo.no

Rikard Haugen, avregningsansvarlig

rikard.haugen@gramo.no

Morten Møller, repertoar, medlemsservice og ISRC

morten.moller@gramo.no

Ann Mari Skog, repertoar og medlemsservice

annmari.skog@gramo.no

Julia Witek, repertoar og medlemsservice

julia.witek@gramo.no

Kristian Hultgren, utenlandsavtaler

kristian.karl.hultgren@gramo.no

Henriette Korsmo Berg, utenlandsavtaler

henriette.berg@gramo.no

Kristoffer Eikrem, agentansvarlig

kristoffer.eikrem@gramo.no

Jonas Farstad, repertoar og rettighetskrav

jonas.farstad@gramo.no

Kommunikasjon

Rita H. Mamelund, kommunikasjonssjef

rita.mamelund@gramo.no

Bastian Daae, kommunikasjonsrådgiver og nettredaktør

bastian.daae@gramo.no

IT

Morten Tørmoen, IT-sjef

morten.tormoen@gramo.no

Ståle A. Olsen, systemutvikler

stale.olsen@gramo.no

Andreas Grannæs, systemkonsulent

andreas.grannaes@gramo.no

Økonomi og regnskap

Debasish Sahabanik, leder økonomi og virksomhetsstyring
​debasish.sahabanik@gramo.no

Gramo for bedrifter

Ønsker du å komme i kontakt med markedsavdelingen, er denne fra 1.september 2025 sammenslått med TONO. Henvendelser sendes på epost til marked@gramo.no

Styret i Gramo – Her finner du informasjon om det",https://hjelp.gramo.no/nb/articles/5298932-kontakt-oss
Kontakt,Webflow,Kontaktinfo,Published,,"Medlem: Har du spørsmål knyttet til medlemskap eller rettigheter? Telefon: 22 00 77 80, Telefontid: Hverdager 10 – 15. Bedrift: Har du spørsmål knyttet til faktura eller bruk av musikk i bedriften? Telefon: 22 00 77 97, Telefontid: Hverdager 12 – 15. Kontaktinformasjon: Telefon: 22 00 77 77, E-post: post@gramo.no, Adresse: St. Olavsgate 28, 0166 Oslo",https://www.gramo.no/kontakt
Klage,Intercom,Klage,Published,Vi gjør vårt beste for å få et best mulig resultat for deg. Det kan imidlertid oppstå tilfeller du ikke er fornøyd.,"Hvis du etter å ha vært i kontakt med vår medlemsavdeling fortsatt ønsker å kommentere eller sende inn en klage, vil vi gjerne høre fra deg.

Jeg har en klage

En klage er en skriftlig melding (annet enn en kommentar) til Gramo om at du er misfornøyd med oss eller en avgjørelse vi har tatt som påvirker dine interesser direkte og personlig.

Du må sende inn den klart motiverte klagen til klage(at)gramo.no

Rutiner for klagehåndtering og tvisteløsninger

Det vises til lov om kollektiv forvaltning av opphavsrett mv. § 48.

​

Generelt

En avgjørelse truffet av Gramos administrasjon kan påklages til Gramos styre av en rettighetshaver, kollektive forvaltningsorganisasjoner som Gramo har representasjonsavtale med og utenforstående rettighetshavere som blir berørt av avgjørelsen.

Skriftlighetskrav

Klagen må være innsendt Gramo skriftlig, vedlagt dokumentasjon, og innen de frister som er nevnt nedenfor, regnet fra den dag avgjørelsen er kommet frem til rettighetshaveren. Avgjørelsen det klages over, kan Gramos administrasjon velge å omgjøre.

Reklamasjon

Gramos administrasjon avgjør en rettighetshavers reklamasjon på avregninger og lignende. Reklamasjonen må være innsendt innen seks uker etter at avregningen/meddelelsen er kommet frem til rettighetshaveren.
​
Administrasjonens vedtak i reklamasjonssaker, kan innen tre uker påklages til Gramo. Gramos administrasjon sin avgjørelse kan innen seks uker påklages videre til styret som på første mulige styremøte etter at klagen er mottatt skal behandle og endelig avgjøre saken.

Andre avgjørelser

Klagefristen for andre avgjørelser truffet av Gramos administrasjon er seks uker. Dersom Gramos administrasjon fastholder sin avgjørelse, behandles klagen av styret som på første mulige styremøte etter at klagen er mottatt skal behandle og endelig avgjøre saken.
​
Klage på fordeling av vederlag, herunder men ikke begrenset til rettighetshavertvister mv., håndteres etter Gramos fordelingsreglement.

Bortfall av klagerett

Er klagefristen oversittet, er klageretten bortfalt.

Tilsyn

Patentstyret fører tilsyn med at bestemmelser gitt i eller i medhold av lov om kollektiv forvaltning av opphavsrett mv. overholdes, jf. § 49. Tilsynet omfatter Gramo.

Tvisteløsning mellom vederlagspliktige og Gramo

Tvist om vederlag etter § 21 kan enhver av partene bringe inn for Vederlagsnemnda, som kan fastsette vederlaget på bindende måte.",https://hjelp.gramo.no/nb/articles/8227209-klage
